theme_group,theme,path,indicator_key,name,full_name,unit,n_years,first_year,last_year,n_regions,max_region_level,completeness,score
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Parc de Logement > Données générales > Nombre moyen de ménages par logement occupé,27326316,Nombre moyen de ménages par logement occupé,Nombre moyen de ménages par logement occupé,Nombre,6,1984,2009,1,national,1.0,0.3154
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Parc de Logement > Données générales > Nombre moyen de personnes par logements occupé,27326416,Nombre moyen de personnes par logements occupé,Nombre moyen de personnes par logements occupé,Pourcentage,6,1984,2009,1,national,1.0,0.3154
employment_living_conditions,Ménages et conditions de vie,"Ménages et conditions de vie > Parc de Logement > Structure des logements selon le type ( en %) > Logements modernes (villas, appartements, …)",27326616,"Logements modernes (villas, appartements, …)","Proportion des maisons de structures modernes (villas, appartement) (%)",Pourcentage,6,1984,2009,1,national,1.0,0.3154
employment_living_conditions,Ménages et conditions de vie,"Ménages et conditions de vie > Parc de Logement > Structure des logements selon le type ( en %) > Logements traditionnels (maison arabe, borj, houch....)",27326716,"Logements traditionnels (maison arabe, borj, houch....)","Proportion des maisons de structures traditionnel (arabe House, Tour)",Pourcentage,6,1984,2009,1,national,1.0,0.3154
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Parc de Logement > Structure des logements selon le type ( en %) > Logements rudimentaires,27326816,Logements rudimentaires,Proportion des maisons de structures primitif,,6,1984,2009,1,national,1.0,0.3154
employment_living_conditions,Emploi,Emploi > Chômage > Répartition des chômeurs de l’enseignement supérieur selon la nature de diplôme > Diplôme de technicien supérieur ou équivalent,40009001,Diplôme de technicien supérieur ou équivalent,Chômeurs ayant Diplôme de technicien supérieur ou équivalent,Nombre,5,2006,2010,1,national,1.0,0.3147
employment_living_conditions,Emploi,Emploi > Chômage > Répartition des chômeurs de l’enseignement supérieur selon la nature de diplôme > Maîtrise en sciences humaines,40009002,Maîtrise en sciences humaines,Chômeurs ayant Maîtrise en sciences humaines,Nombre,5,2006,2010,1,national,1.0,0.3147
employment_living_conditions,Emploi,"Emploi > Chômage > Répartition des chômeurs de l’enseignement supérieur selon la nature de diplôme > Maîtrise en droit, économie et gestion",40009003,"Maîtrise en droit, économie et gestion","Chômeurs ayant Maîtrise en droit, économie et gestion",Nombre,5,2006,2010,1,national,1.0,0.3147
employment_living_conditions,Emploi,Emploi > Chômage > Répartition des chômeurs de l’enseignement supérieur selon la nature de diplôme > Maîtrise en science exacte,40009004,Maîtrise en science exacte,Chômeurs ayant Maîtrise en science exacte,Nombre,5,2006,2010,1,national,1.0,0.3147
employment_living_conditions,Emploi,Emploi > Chômage > Répartition des chômeurs de l’enseignement supérieur selon la nature de diplôme > Autre diplôme supérieur,40009005,Autre diplôme supérieur,Chômeurs ayant Autre diplôme supérieur,Nombre,5,2006,2010,1,national,1.0,0.3147
employment_living_conditions,Emploi,Emploi > Population occupée > Répartition de la population active occupée selon le secteur d'activité > Agriculture et pêche,40005001,Agriculture et pêche,Population active occupée dans Agriculture et pêche,Nombre,4,2007,2010,1,national,1.0,0.306
employment_living_conditions,Emploi,Emploi > Population occupée > Répartition de la population active occupée selon le secteur d'activité > Non déclarés,40005020,Non déclarés,Population active occupée dans des activité Non déclarés,Nombre,4,2007,2010,1,national,1.0,0.306
